ZD_deg,Ereco_min_TeV,Ereco_max_TeV,BckgRate_per_second,Theta_cut_deg,Gammaness_cut
6.0,0.012589254117941675,0.0199526231496888,0.08517203990519402,0.32,0.14980508270919676
6.0,0.0199526231496888,0.03162277660168379,3.4842739444524904,0.25416790232400216,0.2232647189688829
6.0,0.03162277660168379,0.05011872336272725,4.478140055010664,0.22836642194149148,0.24282859738626
6.0,0.05011872336272725,0.07943282347242814,1.4772598658268499,0.17930820879898315,0.3082568921420486
6.0,0.07943282347242814,0.12589254117941673,0.1278754571286665,0.11869128089021427,0.5205997890139312
6.0,0.12589254117941673,0.19952623149688797,0.015107381355225944,0.1,0.6802999880849291
6.0,0.19952623149688797,0.31622776601683794,0.0049059443594680376,0.1,0.7519160350778854
6.0,0.31622776601683794,0.5011872336272722,0.0016774052026938128,0.1,0.8187521024602308
6.0,0.5011872336272722,0.7943282347242814,0.0007139553959658439,0.1,0.8703749276810416
6.0,0.7943282347242814,1.2589254117941668,0.00026955556042065703,0.1,0.9016936131710661
6.0,1.2589254117941668,1.9952623149688788,8.066996404733683e-05,0.1,0.9316904703903903
6.0,1.9952623149688788,3.1622776601683795,4.102722039814362e-05,0.1,0.9396606170144983
6.0,3.1622776601683795,5.01187233627272,1.110097464803121e-05,0.1,0.9500643114259029
6.0,5.01187233627272,7.943282347242813,7.06861619118234e-06,0.1,0.9510363823031566
6.0,7.943282347242813,12.589254117941662,-9.229844993002799e-07,0.1,0.9401611478282427
6.0,12.589254117941662,19.952623149688787,1.6517809853830499e-06,0.1,0.9567406906007412
6.0,19.952623149688787,31.622776601683793,-4.769331173746089e-07,0.1016591644784053,0.9477693994941487
6.0,31.622776601683793,50.118723362727195,0.0,0.1,0.9310066460490418
6.0,50.118723362727195,79.43282347242814,5.546826240300546e-05,0.32,0.1
9.579,0.012589254117941675,0.0199526231496888,0.07496221511832982,0.32,0.14954631782891498
9.579,0.0199526231496888,0.03162277660168379,3.1143848906358587,0.2489388571568171,0.21880920839480064
9.579,0.03162277660168379,0.05011872336272725,4.613326231585207,0.23467156439645145,0.24001297834835228
9.579,0.05011872336272725,0.07943282347242814,1.4503731886193367,0.1782758956117673,0.30538889532484204
9.579,0.07943282347242814,0.12589254117941673,0.12516326928576404,0.11670020873040216,0.5199252262542218
9.579,0.12589254117941673,0.19952623149688797,0.015784489258984336,0.1,0.6741285296388073
9.579,0.19952623149688797,0.31622776601683794,0.005171553265496122,0.1,0.7502508793627872
9.579,0.31622776601683794,0.5011872336272722,0.001865983854968374,0.1,0.8134164858767834
9.579,0.5011872336272722,0.7943282347242814,0.0007358633567411192,0.1,0.8706827596053548
9.579,0.7943282347242814,1.2589254117941668,0.00029631423582446114,0.1,0.903105147449207
9.579,1.2589254117941668,1.9952623149688788,9.068830610373063e-05,0.1,0.9316411475681786
9.579,1.9952623149688788,3.1622776601683795,4.413207063878484e-05,0.1,0.9390698016445345
9.579,3.1622776601683795,5.01187233627272,1.4386956952662837e-05,0.1,0.9568974012918506
9.579,5.01187233627272,7.943282347242813,6.951317635437314e-06,0.1,0.9571810800605608
9.579,7.943282347242813,12.589254117941662,1.6161098841073004e-06,0.1,0.9550247825644098
9.579,12.589254117941662,19.952623149688787,1.939843144372741e-06,0.1,0.9537668221860696
9.579,19.952623149688787,31.622776601683793,8.080549420536502e-07,0.1,0.9466113932901232
9.579,31.622776601683793,50.118723362727195,0.0,0.1,0.9113429102140364
9.579,50.118723362727195,79.43282347242814,5.131737842028748e-05,0.32,0.1
16.08,0.012589254117941675,0.0199526231496888,0.01999735615095646,0.23587899012290253,0.117942388934193
16.08,0.0199526231496888,0.03162277660168379,2.302646457107055,0.2514035018042374,0.20694299577277286
16.08,0.03162277660168379,0.05011872336272725,4.623237882761817,0.23422839772906243,0.23553418601607756
16.08,0.05011872336272725,0.07943282347242814,1.8006793896081452,0.18845985664607448,0.2899963008856928
16.08,0.07943282347242814,0.12589254117941673,0.1713798825397484,0.1208416089315547,0.4954425122131275
16.08,0.12589254117941673,0.19952623149688797,0.018924926393187574,0.1,0.6704718083416198
16.08,0.19952623149688797,0.31622776601683794,0.005676468690662127,0.1,0.7539795241681223
16.08,0.31622776601683794,0.5011872336272722,0.0022216219399217463,0.1,0.8072247840435847
16.08,0.5011872336272722,0.7943282347242814,0.000811894918680494,0.1,0.870828522852448
16.08,0.7943282347242814,1.2589254117941668,0.000333443663661433,0.1,0.9032104519757597
16.08,1.2589254117941668,1.9952623149688788,0.0001052817721684948,0.1,0.9306896639956173
16.08,1.9952623149688788,3.1622776601683795,5.341283602251233e-05,0.1,0.9458204733612634
16.08,3.1622776601683795,5.01187233627272,1.81129804481252e-05,0.1,0.9534106981487875
16.08,5.01187233627272,7.943282347242813,8.336120917042652e-06,0.1,0.9529725896325841
16.08,7.943282347242813,12.589254117941662,6.380749010826143e-06,0.1,0.9569630171986361
16.08,12.589254117941662,19.952623149688787,1.955371906216509e-06,0.1,0.9665766973249578
16.08,19.952623149688787,31.622776601683793,7.203693070199468e-07,0.1,0.9487771937769978
16.08,31.622776601683793,50.118723362727195,0.0,0.1,0.9491118247571814
16.08,50.118723362727195,79.43282347242814,9.063151052036456e-05,0.32,0.1
23.16,0.012589254117941675,0.0199526231496888,0.0037997870728821463,0.32,0.1
